1;Algoritmos e Programação
2;Ambiente Legal de Negócios
3;Análise de Algoritmos
4;Arquitetura de Computadores
5;Automação Industrial
6;Cálculo Diferencial
7;Cálculo Integral
8;Cálculo Numérico
9;Circuitos
10;Computação Gráfica e Processamento de Imagens
11;Design de Games
12;Design de Software
13;Desafios da Engenharia
14;Desenho Técnico
15;Desenvolvimento de Aplicativos
16;Direitos Humanos
17;Eletricidade Aplicada
18;Eletrônica Analógica e Digital
19;Engenharia de Software
20;Ergonomia do Trabalho
21;Estratégia e Estrutura Organizacional
22;Estrutura de Dados
23;Ética, Cidadania e Responsabilidade nas Empresas
24;Física Geral e Experimental: Calor e Fluidos
25;Física Geral e Experimental: Campo Magnético, Óptica e Ondulatória
26;Física Geral e Experimental: Movimento
27;Fundamentos de Gestão Empresarial
28;Geometria Analítica e Álgebra Linear
29;Gerenciamento Ágil de Projetos de Software
30;Gestão de Processos Organizacionais
31;Gestão de Projetos
32;Gestão dos Riscos e Segurança do Trabalho
33;Governança em TI
34;Inteligência Artificial
35;Liderança e Desenvolvimento de Equipes
36;Linguagem e Interpretação de Textos
37;Matemática e Estatística
38;Meio Ambiente e Sustentabilidade
39;Métodos de Tomada de Decisão
40;Microcontroladores e Microprocessadores
41;Pesquisa Operacional
42;Programação Orientada a Objetos
43;Programação para Dispositivos Móveis
44;Programação para Internet
45;Projeto de Indústria 4.0
46;Projeto de Software
47;Projeto Multidisciplinar Final
48;Projeto Multidisciplinar Final I
49;Projeto Multidisciplinar Final II
50;Projeto Multidisciplinar I
51;Projeto Multidisciplinar II
52;Projeto Multidisciplinar III
53;Projeto Multidisciplinar IV
54;Projeto Multidisciplinar V
55;Projeto Multidisciplinar VI
56;Projeto Multidisciplinar VII
57;Projeto Multidisciplinar VIII
58;Química Geral e Tecnológica
59;Redes de Computadores
60;Segurança da Informação
61;Sistemas de Informação Gerencial
62;Sistemas Distribuídos
63;Sistemas Embarcados
64;Sistemas Operacionais
65;Tecnologia da Informação Aplicada à Gestão
66;Teorias da Administração
67;Testes e Homologação de Software
68;Economia de Empresas
